name,year,count
Aaron,2001,9568
Adrian,2001,5613
Brett,2001,2000
Brian,2001,8312
Dan,2001,150
Earl,2001,230
Emmitt,2001,51
Joe,2001,964
John,2001,18910
Ken,2001,124
Kurt,2001,273
Lawrence,2001,810
Marcus,2001,3701
Mark,2001,4761
Peyton,2001,3997
Rich,2001,19
Shaun,2001,666
Steve,2001,623
Terrell,2001,537
Thurman,2001,24
Tom,2001,96
Aaron,2002,9039
Adrian,2002,5875
Brett,2002,1890
Brian,2002,8100
Dan,2002,152
Earl,2002,201
Emmitt,2002,45
Joe,2002,917
John,2002,17458
Ken,2002,134
Kurt,2002,278
Lawrence,2002,793
Marcus,2002,3547
Mark,2002,4232
Peyton,2002,3465
Rich,2002,22
Shaun,2002,652
Steve,2002,543
Terrell,2002,503
Thurman,2002,12
Tom,2002,139
Aaron,2003,8897
Adrian,2003,6279
Brett,2003,1646
Brian,2003,7687
Dan,2003,148
Earl,2003,199
Emmitt,2003,58
Joe,2003,898
John,2003,17251
Ken,2003,110
Kurt,2003,244
Lawrence,2003,817
Marcus,2003,3395
Mark,2003,4031
Peyton,2003,3468
Rich,2003,18
Shaun,2003,699
Steve,2003,562
Terrell,2003,516
Thurman,2003,22
Tom,2003,131
Aaron,2004,8443
Adrian,2004,6306
Brett,2004,1606
Brian,2004,7367
Dan,2004,142
Earl,2004,178
Emmitt,2004,51
Joe,2004,819
John,2004,16507
Ken,2004,153
Kurt,2004,230
Lawrence,2004,768
Marcus,2004,3495
Mark,2004,3778
Peyton,2004,4871
Rich,2004,19
Shaun,2004,679
Steve,2004,484
Terrell,2004,511
Thurman,2004,17
Tom,2004,107
Aaron,2005,7824
Adrian,2005,6883
Boomer,2005,5
Brett,2005,1417
Brian,2005,6938
Dan,2005,155
Earl,2005,183
Emmitt,2005,84
Joe,2005,794
John,2005,15795
Ken,2005,117
Kurt,2005,182
Lawrence,2005,733
Marcus,2005,3467
Mark,2005,3536
Peyton,2005,5303
Rich,2005,23
Shaun,2005,736
Steve,2005,475
Terrell,2005,523
Thurman,2005,19
Tom,2005,125
Aaron,2006,8314
Adrian,2006,7557
Boomer,2006,5
Brett,2006,1097
Brian,2006,6511
Dan,2006,134
Earl,2006,186
Emmitt,2006,90
Joe,2006,806
John,2006,15188
Ken,2006,135
Kurt,2006,182
Lawrence,2006,728
Marcus,2006,3801
Mark,2006,3246
Peyton,2006,5219
Rich,2006,27
Shaun,2006,911
Steve,2006,470
Terrell,2006,505
Thurman,2006,12
Tom,2006,108
Aaron,2007,8955
Adrian,2007,7911
Brett,2007,976
Brian,2007,6095
Dan,2007,147
Earl,2007,170
Emmitt,2007,107
Joe,2007,736
John,2007,14445
Ken,2007,120
Kurt,2007,157
Lawrence,2007,771
Marcus,2007,3667
Mark,2007,2972
Peyton,2007,6145
Rich,2007,28
Shaun,2007,785
Steve,2007,446
Terrell,2007,520
Thurman,2007,15
Tom,2007,94
Aaron,2008,8559
Adrian,2008,8083
Brett,2008,1098
Brian,2008,5262
Dan,2008,134
Earl,2008,170
Emmitt,2008,111
Joe,2008,721
John,2008,13328
Ken,2008,108
Kurt,2008,139
Lawrence,2008,676
Marcus,2008,3391
Mark,2008,2909
Peyton,2008,7949
Rich,2008,10
Shaun,2008,680
Steve,2008,422
Terrell,2008,485
Thurman,2008,17
Tom,2008,96
Aaron,2009,7995
Adrian,2009,7788
Boomer,2009,5
Brett,2009,780
Brian,2009,4654
Dan,2009,116
Earl,2009,139
Emmitt,2009,146
Joe,2009,604
John,2009,12111
Ken,2009,104
Kurt,2009,134
Lawrence,2009,635
Marcus,2009,3402
Mark,2009,2570
Peyton,2009,8012
Rich,2009,18
Shaun,2009,559
Steve,2009,415
Terrell,2009,450
Thurman,2009,10
Tom,2009,99
Aaron,2010,7473
Adrian,2010,7558
Brett,2010,746
Brian,2010,3770
Dan,2010,116
Earl,2010,115
Emmitt,2010,241
Joe,2010,592
John,2010,11549
Ken,2010,68
Kurt,2010,112
Lawrence,2010,579
Marcus,2010,3124
Mark,2010,2416
Peyton,2010,7607
Rich,2010,11
Shaun,2010,553
